Instance type,Release Date,Instance vCPU,Platform Total Number of vCPU,Platform CPU Name,Instance Memory (in GB),Platform Memory (in GB),Storage Info (Type and Size in GB),Storage Type,Platform Storage Drive Quantity,Platform GPU Quantity,Platform GPU Name,Instance Number of GPU,Instance GPU memory (in GB),PkgWatt @ Idle,PkgWatt @ 10%,PkgWatt @ 50%,PkgWatt @ 100%,RAMWatt @ Idle,RAMWatt @ 10%,RAMWatt @ 50%,RAMWatt @ 100%,GPUWatt @ Idle,GPUWatt @ 10%,GPUWatt @ 50%,GPUWatt @ 100%,Delta Full Machine,Instance @ Idle,Instance @ 10%,Instance @ 50%,Instance @ 100%,Hardware Information on AWS Documentation & Comments
c5d.metal,November 2019,96,96,Xeon Platinum 8275CL,192,192,4 x 900 NVMe SSD,SSD,4,N/A,N/A,N/A,N/A,"57,93","175,53","448,31","626,76","36,55","66,26","138,37","210,48","0,0","0,0","0,0","0,0","96,0","190,5","337,8","682,7","933,2",Up to 3.9 GHz 2nd generation Intel Xeon Scalable Processors (Cascade Lake)
c5n.large,November 2018,2,72,Xeon Platinum 8124M,5.25,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"1,41","3,75","8,14","11,77","1,02","1,84","3,24","4,63","0,0","0,0","0,0","0,0","2,7","5,1","8,3","14,0","19,1",3.0 GHz Intel Xeon Platinum Processor
c5n.xlarge,November 2018,4,72,Xeon Platinum 8124M,10.5,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"2,81","7,49","16,29","23,54","2,04","3,69","6,48","9,27","0,0","0,0","0,0","0,0","5,3","10,2","16,5","28,1","38,1",3.0 GHz Intel Xeon Platinum Processor
c5n.2xlarge,November 2018,8,72,Xeon Platinum 8124M,21,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"5,63","14,98","32,58","47,08","4,08","7,38","12,95","18,53","0,0","0,0","0,0","0,0","10,7","20,4","33,0","56,2","76,3",3.0 GHz Intel Xeon Platinum Processor
c5n.4xlarge,November 2018,16,72,Xeon Platinum 8124M,42,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"11,26","29,97","65,16","94,15","8,17","14,75","25,91","37,06","0,0","0,0","0,0","0,0","21,3","40,8","66,1","112,4","152,5",3.0 GHz Intel Xeon Platinum Processor
c5n.9xlarge,November 2018,36,72,Xeon Platinum 8124M,96,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"25,33","67,43","146,61","211,84","18,67","33,73","59,22","84,72","0,0","0,0","0,0","0,0","48,0","92,0","149,2","253,8","344,6",3.0 GHz Intel Xeon Platinum Processor
c5n.18xlarge,November 2018,72,72,Xeon Platinum 8124M,192,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"50,66","134,85","293,21","423,68","37,34","67,45","118,44","169,43","0,0","0,0","0,0","0,0","96,0","184,0","298,3","507,7","689,1",3.0 GHz Intel Xeon Platinum Processor
c5n.metal,August 2019,72,72,Xeon Platinum 8124M,192,192,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"50,66","134,85","293,21","423,68","37,34","67,45","118,44","169,43","0,0","0,0","0,0","0,0","96,0","184,0","298,3","507,7","689,1",3.0 GHz Intel Xeon Platinum Processor
c6g.medium,December 2019,1,64,Graviton2,2,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"0,27","0,75","1,76","2,39","0,40","0,60","0,80","1,20","0,0","0,0","0,0","0,0","0,5","1,1","1,8","3,0","4,1",AWS Graviton2 (ARM)
c6g.large,December 2019,2,64,Graviton2,4,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"0,54","1,49","3,53","4,77","0,80","1,20","1,60","2,40","0,0","0,0","0,0","0,0","0,9","2,3","3,6","6,1","8,1",AWS Graviton2 (ARM)
c6g.xlarge,December 2019,4,64,Graviton2,8,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"1,09","2,98","7,05","9,55","1,60","2,40","3,20","4,80","0,0","0,0","0,0","0,0","1,9","4,6","7,3","12,1","16,2",AWS Graviton2 (ARM)
c6g.2xlarge,December 2019,8,64,Graviton2,16,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"2,18","5,97","14,10","19,10","3,20","4,80","6,40","9,60","0,0","0,0","0,0","0,0","3,8","9,1","14,5","24,3","32,4",AWS Graviton2 (ARM)
c6g.4xlarge,December 2019,16,64,Graviton2,32,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"4,35","11,93","28,21","38,20","6,40","9,60","12,80","19,20","0,0","0,0","0,0","0,0","7,5","18,3","29,0","48,5","64,9",AWS Graviton2 (ARM)
c6g.8xlarge,December 2019,32,64,Graviton2,64,128,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"8,71","23,87","56,42","76,39","12,80","19,20","25,60","38,40","0,0","0,0","0,0","0,0","15,0","36,5","58,1","97,0","129,8",AWS Graviton2 (ARM)
