Instance type,Release Date,Instance vCPU,Platform Total Number of vCPU,Platform CPU Name,Instance Memory (in GB),Platform Memory (in GB),Storage Info (Type and Size in GB),Storage Type,Platform Storage Drive Quantity,Platform GPU Quantity,Platform GPU Name,Instance Number of GPU,Instance GPU memory (in GB),PkgWatt @ Idle,PkgWatt @ 10%,PkgWatt @ 50%,PkgWatt @ 100%,RAMWatt @ Idle,RAMWatt @ 10%,RAMWatt @ 50%,RAMWatt @ 100%,GPUWatt @ Idle,GPUWatt @ 10%,GPUWatt @ 50%,GPUWatt @ 100%,Delta Full Machine,Instance @ Idle,Instance @ 10%,Instance @ 50%,Instance @ 100%,Hardware Information on AWS Documentation & Comments
g4dn.8xlarge,March 2019,32,96,Xeon Platinum 8259CL,128,384,1x900,SSD,2,8,T4,1,16,"18,24","45,97","102,31","148,46","19,91","32,94","58,96","84,98","8,1","22,3","52,7","71,3","28,0","74,3","129,2","241,9","332,7",NVIDIA T4 GPU and custom Intel Cascade Lake CPUs
g4dn.16xlarge,March 2019,64,96,Xeon Platinum 8259CL,256,384,1x900,SSD,2,8,T4,1,16,"36,47","91,95","204,62","296,92","39,81","65,89","117,93","169,97","8,1","22,3","52,7","71,3","56,0","140,4","236,1","431,2","594,2",NVIDIA T4 GPU and custom Intel Cascade Lake CPUs
g4dn.12xlarge,March 2019,48,96,Xeon Platinum 8259CL,192,384,1x900,SSD,2,8,T4,4,64,"27,36","68,96","153,47","222,69","29,86","49,42","88,45","127,48","32,5","89,1","210,6","285,2","42,0","131,7","249,5","494,5","677,4",NVIDIA T4 GPU and custom Intel Cascade Lake CPUs
g4dn.metal,March 2019,96,96,Xeon Platinum 8259CL,384,384,2x900,SSD,2,8,T4,8,128,"54,71","137,92","306,93","445,38","59,72","98,83","176,89","254,95","65,0","178,2","421,3","570,4","84,0","263,5","499,0","989,1","1354,7",NVIDIA T4 GPU and custom Intel Cascade Lake CPUs
g4ad.4xlarge,March 2019,16,96,EPYC 7R32,64,384,600,SSD,2,4,Radeon Pro V520,1,8,"5,42","14,85","35,11","47,53","12,80","19,20","25,60","38,40","26,1","71,6","169,3","229,2","9,3","53,7","115,0","239,3","324,4",AMD Radeon Pro V520 GPUs and 2nd generation AMD EPYC processors
g4ad.8xlarge,March 2019,32,96,EPYC 7R32,128,384,1200,SSD,2,4,Radeon Pro V520,2,16,"10,84","29,70","70,21","95,06","25,60","38,40","51,20","76,80","52,3","143,2","338,5","458,3","18,7","107,4","230,0","478,6","648,9",AMD Radeon Pro V520 GPUs and 2nd generation AMD EPYC processors
g4ad.16xlarge,March 2019,64,96,EPYC 7R32,256,384,2400,SSD,2,4,Radeon Pro V520,4,32,"21,68","59,41","140,42","190,13","51,20","76,80","102,40","153,60","104,5","286,4","677,0","916,7","37,3","214,7","460,0","957,2","1297,8",AMD Radeon Pro V520 GPUs and 2nd generation AMD EPYC processors
h1.2xlarge,November 2017,8,72,Xeon E5-2686 v4,32,256,1 x 2.000 HDD,HDD,24,N/A,N/A,N/A,N/A,"3,89","11,10","22,82","31,24","6,40","9,60","12,80","19,20","0,0","0,0","0,0","0,0","6,4","16,7","27,1","42,1","56,9",2.3 GHz Intel Xeon E5 2686 v4 Processor (Broadwell)
h1.4xlarge,November 2017,16,72,Xeon E5-2686 v4,64,256,2 x 2.000 HDD,HDD,24,N/A,N/A,N/A,N/A,"7,77","22,19","45,64","62,47","12,80","19,20","25,60","38,40","0,0","0,0","0,0","0,0","12,9","33,5","54,3","84,1","113,8",2.3 GHz Intel Xeon E5 2686 v4 Processor (Broadwell)
h1.8xlarge,November 2017,32,72,Xeon E5-2686 v4,128,256,4 x 2.000 HDD,HDD,24,N/A,N/A,N/A,N/A,"15,55","44,38","91,28","124,95","25,60","38,40","51,20","76,80","0,0","0,0","0,0","0,0","25,8","66,9","108,6","168,3","227,5",2.3 GHz Intel Xeon E5 2686 v4 Processor (Broadwell)
h1.16xlarge,November 2017,64,72,Xeon E5-2686 v4,256,256,8 x 2.000 HDD,HDD,24,N/A,N/A,N/A,N/A,"31,09","88,76","182,57","249,90","51,20","76,80","102,40","153,60","0,0","0,0","0,0","0,0","51,6","133,8","217,1","336,5","455,1",2.3 GHz Intel Xeon E5 2686 v4 Processor (Broadwell)
hs1.8xlarge,December 2012,16,32,Xeon E5-2670,117,244,24 x 2 000 (HDD),HDD,24,N/A,N/A,N/A,N/A,"13,87","39,60","81,45","111,48","23,40","35,10","46,80","70,20","0,0","0,0","0,0","0,0","23,0","60,3","97,7","151,2","204,7",Intel E5-2650 processor
i2.xlarge,December 2013,4,40,Xeon E5-2670 v2,30.5,244,1 x 800 (SSD),SSD,8,N/A,N/A,N/A,N/A,"2,77","7,92","16,29","22,30","6,10","9,15","12,20","18,30","0,0","0,0","0,0","0,0","4,6","13,5","21,7","33,1","45,2",Intel E5-2670 v2 (Ivy Bridge) processor
i2.2xlarge,December 2013,8,40,Xeon E5-2670 v2,61,244,2 x 800 (SSD),SSD,8,N/A,N/A,N/A,N/A,"5,55","15,84","32,58","44,59","12,20","18,30","24,40","36,60","0,0","0,0","0,0","0,0","9,2","26,9","43,3","66,2","90,4",Intel E5-2670 v2 (Ivy Bridge) processor
i2.4xlarge,December 2013,16,40,Xeon E5-2670 v2,122,244,4 x 800 (SSD),SSD,8,N/A,N/A,N/A,N/A,"11,10","31,68","65,16","89,19","24,40","36,60","48,80","73,20","0,0","0,0","0,0","0,0","18,4","53,9","86,7","132,4","180,8",Intel E5-2670 v2 (Ivy Bridge) processor
i2.8xlarge,December 2013,32,40,Xeon E5-2670 v2,244,244,8 x 800 (SSD),SSD,8,N/A,N/A,N/A,N/A,"22,19","63,36","130,32","178,37","48,80","73,20","97,60","146,40","0,0","0,0","0,0","0,0","36,8","107,8","173,4","264,7","361,6",Intel E5-2670 v2 (Ivy Bridge) processor
i3.large,November 2016,2,72,Xeon E5-2686 v4,15.25,512,1 x 475 NVMe SSD,SSD,8,N/A,N/A,N/A,N/A,"0,97","2,77","5,71","7,81","3,05","4,58","6,10","9,15","0,0","0,0","0,0","0,0","1,6","5,6","9,0","13,4","18,6",2.3 GHz Intel Xeon E5 2686 v4 Processor (Broadwell)
i3.xlarge,November 2016,4,72,Xeon E5-2686 v4,30.5,512,1 x 950 NVMe SSD,SSD,8,N/A,N/A,N/A,N/A,"1,94","5,55","11,41","15,62","6,10","9,15","12,20","18,30","0,0","0,0","0,0","0,0","3,2","11,3","17,9","26,8","37,1",2.3 GHz Intel Xeon E5 2686 v4 Processor (Broadwell)
i3.2xlarge,November 2016,8,72,Xeon E5-2686 v4,61,512,1 x 1.900 NVMe SSD,SSD,8,N/A,N/A,N/A,N/A,"3,89","11,10","22,82","31,24","12,20","18,30","24,40","36,60","0,0","0,0","0,0","0,0","6,4","22,5","35,8","53,7","74,3",2.3 GHz Intel Xeon E5 2686 v4 Processor (Broadwell)
i3.4xlarge,November 2016,16,72,Xeon E5-2686 v4,122,512,2 x 1.900 NVMe SSD,SSD,8,N/A,N/A,N/A,N/A,"7,77","22,19","45,64","62,47","24,40","36,60","48,80","73,20","0,0","0,0","0,0","0,0","12,9","45,1","71,7","107,3","148,6",2.3 GHz Intel Xeon E5 2686 v4 Processor (Broadwell)
i3.8xlarge,November 2016,32,72,Xeon E5-2686 v4,244,512,4 x 1.900 NVMe SSD,SSD,8,N/A,N/A,N/A,N/A,"15,55","44,38","91,28","124,95","48,80","73,20","97,60","146,40","0,0","0,0","0,0","0,0","25,8","90,1","143,4","214,7","297,1",2.3 GHz Intel Xeon E5 2686 v4 Processor (Broadwell)
i3.16xlarge,November 2016,64,72,Xeon E5-2686 v4,488,512,8 x 1.900 NVMe SSD,SSD,8,N/A,N/A,N/A,N/A,"31,09","88,76","182,57","249,90","97,60","146,40","195,20","292,80","0,0","0,0","0,0","0,0","51,6","180,2","286,7","429,3","594,3",2.3 GHz Intel Xeon E5 2686 v4 Processor (Broadwell)
i3.metal,November 2017,72,72,Xeon E5-2686 v4,512,512,8 x 1.900 NVMe SSD,SSD,8,N/A,N/A,N/A,N/A,"34,98","99,86","205,39","281,13","102,40","153,60","204,80","307,20","0,0","0,0","0,0","0,0","58,0","195,4","311,5","468,2","646,3",2.3 GHz Intel Xeon E5 2686 v4 Processor (Broadwell)
i3en.large,May 2019,2,96,Xeon Platinum 8175M,16,768,1 x 1.250 NVMe SSD,SSD,8,N/A,N/A,N/A,N/A,"1,21","3,05","7,16","9,96","2,41","3,85","9,92","15,99","0,0","0,0","0,0","0,0","2,0","5,6","8,9","19,1","27,9",3.1 GHz all core turbo Intel Xeon Scalable (Skylake) processors
i3en.xlarge,May 2019,4,96,Xeon Platinum 8175M,32,768,1 x 2.500 NVMe SSD,SSD,8,N/A,N/A,N/A,N/A,"2,41","6,11","14,32","19,92","4,82","7,70","19,84","31,98","0,0","0,0","0,0","0,0","4,0","11,2","17,8","38,2","55,9",3.1 GHz all core turbo Intel Xeon Scalable (Skylake) processors
i3en.2xlarge,May 2019,8,96,Xeon Platinum 8175M,64,768,2 x 2.500 NVMe SSD,SSD,8,N/A,N/A,N/A,N/A,"4,82","12,22","28,64","39,83","9,64","15,40","39,68","63,97","0,0","0,0","0,0","0,0","8,0","22,5","35,6","76,3","111,8",3.1 GHz all core turbo Intel Xeon Scalable (Skylake) processors
i3en.3xlarge,May 2019,12,96,Xeon Platinum 8175M,96,768,1 x 7.500 NVMe SSD,SSD,8,N/A,N/A,N/A,N/A,"7,24","18,33","42,96","59,75","14,45","23,10","59,53","95,95","0,0","0,0","0,0","0,0","12,0","33,7","53,4","114,5","167,7",3.1 GHz all core turbo Intel Xeon Scalable (Skylake) processors
i3en.6xlarge,May 2019,24,96,Xeon Platinum 8175M,192,768,2 x 7.500 NVMe SSD,SSD,8,N/A,N/A,N/A,N/A,"14,47","36,66","85,93","119,49","28,91","46,20","119,05","191,91","0,0","0,0","0,0","0,0","24,0","67,4","106,9","229,0","335,4",3.1 GHz all core turbo Intel Xeon Scalable (Skylake) processors
i3en.12xlarge,May 2019,48,96,Xeon Platinum 8175M,384,768,4 x 7.500 NVMe SSD,SSD,8,N/A,N/A,N/A,N/A,"28,94","73,32","171,85","238,99","57,81","92,39","238,10","383,81","0,0","0,0","0,0","0,0","48,0","134,8","213,7","458,0","670,8",3.1 GHz all core turbo Intel Xeon Scalable (Skylake) processors
i3en.24xlarge,May 2019,96,96,Xeon Platinum 8175M,768,768,8 x 7.500 NVMe SSD,SSD,8,N/A,N/A,N/A,N/A,"57,88","146,63","343,70","477,98","115,62","184,78","476,20","767,62","0,0","0,0","0,0","0,0","96,0","269,5","427,4","915,9","1341,6",3.1 GHz all core turbo Intel Xeon Scalable (Skylake) processors
i3en.metal,August 2019,96,96,Xeon Platinum 8175M,768,768,8 x 7.500 NVMe SSD,SSD,8,N/A,N/A,N/A,N/A,"57,88","146,63","343,70","477,98","115,62","184,78","476,20","767,62","0,0","0,0","0,0","0,0","96,0","269,5","427,4","915,9","1341,6",3.1 GHz all core turbo Intel Xeon Scalable (Skylake) processors
inf1.xlarge,December 2019,4,96,Xeon Platinum 8275CL,8,192,EBS only,EBS,0,N/A,N/A,N/A,N/A,"2,41","7,31","18,68","26,11","1,52","2,76","5,77","8,77","0,0","0,0","0,0","0,0","4,0","7,9","14,1","28,4","38,9",1 Inferencia chip - Comment: the estimated Scope 3 does not include the Inferencia chips
inf1.2xlarge,December 2019,8,96,Xeon Platinum 8275CL,16,192,EBS only,EBS,0,N/A,N/A,N/A,N/A,"4,83","14,63","37,36","52,23","3,05","5,52","11,53","17,54","0,0","0,0","0,0","0,0","8,0","15,9","28,1","56,9","77,8",1 Inferencia chip - Comment: the estimated Scope 3 does not include the Inferencia chips
inf1.6xlarge,December 2019,24,96,Xeon Platinum 8275CL,48,192,EBS only,EBS,0,N/A,N/A,N/A,N/A,"14,48","43,88","112,08","156,69","9,14","16,57","34,59","52,62","0,0","0,0","0,0","0,0","24,0","47,6","84,4","170,7","233,3",4 Inferencia chips - Comment: the estimated Scope 3 does not include the Inferencia chips
inf1.24xlarge,December 2019,96,96,Xeon Platinum 8275CL,192,192,EBS only,EBS,0,N/A,N/A,N/A,N/A,"57,93","175,53","448,31","626,76","36,55","66,26","138,37","210,48","0,0","0,0","0,0","0,0","96,0","190,5","337,8","682,7","933,2",16 Inferencia chips - Comment: the estimated Scope 3 does not include the Inferencia chips
m1.small,August 2006,1,32,Xeon E5-2650,1.7,120,1 x 160 (SSD),SSD,4,N/A,N/A,N/A,N/A,"0,72","2,04","4,21","5,76","0,34","0,51","0,68","1,02","0,0","0,0","0,0","0,0","1,2","2,2","3,7","6,1","8,0",
m1.medium,March 2012,1,32,Xeon E5-2650,3.75,120,1 x SSD 410,SSD,4,N/A,N/A,N/A,N/A,"0,72","2,04","4,21","5,76","0,75","1,13","1,50","2,25","0,0","0,0","0,0","0,0","1,2","2,7","4,4","6,9","9,2",
m1.large,October 2007,2,32,Xeon E5-2650,7.5,120,2 x SSD 420,SSD,4,N/A,N/A,N/A,N/A,"1,43","4,09","8,41","11,51","1,50","2,25","3,00","4,50","0,0","0,0","0,0","0,0","2,4","5,3","8,7","13,8","18,4",
m1.xlarge,October 2007,4,32,Xeon E5-2650,15,120,4 x SSD 420,SSD,4,N/A,N/A,N/A,N/A,"2,86","8,18","16,82","23,02","3,00","4,50","6,00","9,00","0,0","0,0","0,0","0,0","4,8","10,6","17,4","27,6","36,8",
m2.xlarge,February 2010,2,32,Xeon E5-2665,17.1,280,1 x SSD 420,SSD,2,N/A,N/A,N/A,N/A,"1,73","4,95","10,18","13,94","3,42","5,13","6,84","10,26","0,0","0,0","0,0","0,0","2,9","8,0","13,0","19,9","27,1",
m2.2xlarge,October 2009,4,32,Xeon E5-2665,34.2,280,1 x SSD 850,SSD,2,N/A,N/A,N/A,N/A,"3,47","9,90","20,36","27,87","6,84","10,26","13,68","20,52","0,0","0,0","0,0","0,0","5,8","16,1","25,9","39,8","54,1",
m2.4xlarge,October 2009,8,32,Xeon E5-2665,68.4,280,2 x SSD 840,SSD,2,N/A,N/A,N/A,N/A,"6,94","19,80","40,72","55,74","13,68","20,52","27,36","41,04","0,0","0,0","0,0","0,0","11,5","32,1","51,8","79,6","108,3",
m3.medium,January 2014,1,32,Xeon E5-2670,3.75,240,1 x 4 (SSD),SSD,2,N/A,N/A,N/A,N/A,"0,87","2,47","5,09","6,97","0,75","1,13","1,50","2,25","0,0","0,0","0,0","0,0","1,4","3,1","5,0","8,0","10,7",Intel Xeon E5-2670 (Sandy Bridge or Ivy Bridge) processors
m3.large,January 2014,2,32,Xeon E5-2670,7.5,240,1 x 32 (SSD),SSD,2,N/A,N/A,N/A,N/A,"1,73","4,95","10,18","13,94","1,50","2,25","3,00","4,50","0,0","0,0","0,0","0,0","2,9","6,1","10,1","16,1","21,3",Intel Xeon E5-2670 (Sandy Bridge or Ivy Bridge) processors
m3.xlarge,October 2012,4,32,Xeon E5-2670,15,240,2 x 40 (SSD),SSD,2,N/A,N/A,N/A,N/A,"3,47","9,90","20,36","27,87","3,00","4,50","6,00","9,00","0,0","0,0","0,0","0,0","5,8","12,2","20,1","32,1","42,6",Intel Xeon E5-2670 (Sandy Bridge or Ivy Bridge) processors
m3.2xlarge,October 2012,8,32,Xeon E5-2670,30,240,2 x 80 (SSD),SSD,2,N/A,N/A,N/A,N/A,"6,94","19,80","40,72","55,74","6,00","9,00","12,00","18,00","0,0","0,0","0,0","0,0","11,5","24,4","40,3","64,2","85,2",Intel Xeon E5-2670 (Sandy Bridge or Ivy Bridge) processors
m4.large,June 2015,2,72,Xeon E5-2686 v4,8,256,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"0,97","2,77","5,71","7,81","1,60","2,40","3,20","4,80","0,0","0,0","0,0","0,0","1,6","4,2","6,8","10,5","14,2",2.3 GHz Intel Xeon E5-2686 v4 (Broadwell) or 2.4 GHz Intel Xeon E5-2676 v3 (Haswell)
m4.xlarge,June 2015,4,72,Xeon E5-2686 v4,16,256,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"1,94","5,55","11,41","15,62","3,20","4,80","6,40","9,60","0,0","0,0","0,0","0,0","3,2","8,4","13,6","21,0","28,4",2.3 GHz Intel Xeon E5-2686 v4 (Broadwell) or 2.4 GHz Intel Xeon E5-2676 v3 (Haswell)
m4.2xlarge,June 2015,8,72,Xeon E5-2686 v4,32,256,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"3,89","11,10","22,82","31,24","6,40","9,60","12,80","19,20","0,0","0,0","0,0","0,0","6,4","16,7","27,1","42,1","56,9",2.3 GHz Intel Xeon E5-2686 v4 (Broadwell) or 2.4 GHz Intel Xeon E5-2676 v3 (Haswell)
m4.4xlarge,June 2015,16,72,Xeon E5-2686 v4,64,256,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"7,77","22,19","45,64","62,47","12,80","19,20","25,60","38,40","0,0","0,0","0,0","0,0","12,9","33,5","54,3","84,1","113,8",2.3 GHz Intel Xeon E5-2686 v4 (Broadwell) or 2.4 GHz Intel Xeon E5-2676 v3 (Haswell)
m4.10xlarge,June 2015,40,48,Xeon E5-2676 v3,160,256,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"24,12","68,87","141,65","193,88","32,00","48,00","64,00","96,00","0,0","0,0","0,0","0,0","40,0","96,1","156,9","245,6","329,9",2.3 GHz Intel Xeon E5-2686 v4 (Broadwell) or 2.4 GHz Intel Xeon E5-2676 v3 (Haswell)
m4.16xlarge,September 2016,64,72,Xeon E5-2686 v4,256,256,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"31,09","88,76","182,57","249,90","51,20","76,80","102,40","153,60","0,0","0,0","0,0","0,0","51,6","133,8","217,1","336,5","455,1",2.3 GHz Intel Xeon E5-2686 v4 (Broadwell) or 2.4 GHz Intel Xeon E5-2676 v3 (Haswell)
m5.large,November 2017,2,96,Xeon Platinum 8175M,8,384,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"1,21","3,05","7,16","9,96","1,20","1,92","4,96","8,00","0,0","0,0","0,0","0,0","2,0","4,4","7,0","14,1","20,0",Up to 3.1 GHz Intel Xeon Platinum 8175M
m5.xlarge,November 2017,4,96,Xeon Platinum 8175M,16,384,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"2,41","6,11","14,32","19,92","2,41","3,85","9,92","15,99","0,0","0,0","0,0","0,0","4,0","8,8","14,0","28,2","39,9",Up to 3.1 GHz Intel Xeon Platinum 8175M
m5.2xlarge,November 2017,8,96,Xeon Platinum 8175M,32,384,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"4,82","12,22","28,64","39,83","4,82","7,70","19,84","31,98","0,0","0,0","0,0","0,0","8,0","17,6","27,9","56,5","79,8",Up to 3.1 GHz Intel Xeon Platinum 8175M
m5.4xlarge,November 2017,16,96,Xeon Platinum 8175M,64,384,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"9,65","24,44","57,28","79,66","9,64","15,40","39,68","63,97","0,0","0,0","0,0","0,0","16,0","35,3","55,8","113,0","159,6",Up to 3.1 GHz Intel Xeon Platinum 8175M
m5.8xlarge,June 2019,32,96,Xeon Platinum 8175M,128,384,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"19,29","48,88","114,57","159,33","19,27","30,80","79,37","127,94","0,0","0,0","0,0","0,0","32,0","70,6","111,7","225,9","319,3",Up to 3.1 GHz Intel Xeon Platinum 8175M
m5.12xlarge,November 2017,48,96,Xeon Platinum 8175M,192,384,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"28,94","73,32","171,85","238,99","28,91","46,20","119,05","191,91","0,0","0,0","0,0","0,0","48,0","105,8","167,5","338,9","478,9",Up to 3.1 GHz Intel Xeon Platinum 8175M
m5.16xlarge,June 2019,64,96,Xeon Platinum 8175M,256,384,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"38,59","97,75","229,13","318,65","38,54","61,59","158,73","255,87","0,0","0,0","0,0","0,0","64,0","141,1","223,3","451,9","638,5",Up to 3.1 GHz Intel Xeon Platinum 8175M
m5.24xlarge,November 2017,96,96,Xeon Platinum 8175M,384,384,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"57,88","146,63","343,70","477,98","57,81","92,39","238,10","383,81","0,0","0,0","0,0","0,0","96,0","211,7","335,0","677,8","957,8",Up to 3.1 GHz Intel Xeon Platinum 8175M
m5.metal,February 2019,96,96,Xeon Platinum 8175M,384,384,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"57,88","146,63","343,70","477,98","57,81","92,39","238,10","383,81","0,0","0,0","0,0","0,0","96,0","211,7","335,0","677,8","957,8",Up to 3.1 GHz Intel Xeon Platinum 8175M
m5a.large,November 2018,2,96,EPYC 7571,8,384,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"0,97","2,65","6,27","8,49","1,60","2,40","3,20","4,80","0,0","0,0","0,0","0,0","1,7","4,2","6,7","11,1","15,0",2.5 GHz AMD EPYC 7000 Series Processor
m5a.xlarge,November 2018,4,96,EPYC 7571,16,384,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"1,94","5,30","12,54","16,98","3,20","4,80","6,40","9,60","0,0","0,0","0,0","0,0","3,3","8,5","13,4","22,3","29,9",2.5 GHz AMD EPYC 7000 Series Processor
m5a.2xlarge,November 2018,8,96,EPYC 7571,32,384,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"3,87","10,61","25,08","33,95","6,40","9,60","12,80","19,20","0,0","0,0","0,0","0,0","6,7","16,9","26,9","44,5","59,8",2.5 GHz AMD EPYC 7000 Series Processor
m5a.4xlarge,November 2018,16,96,EPYC 7571,64,384,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"7,74","21,22","50,15","67,90","12,80","19,20","25,60","38,40","0,0","0,0","0,0","0,0","13,3","33,9","53,8","89,1","119,6",2.5 GHz AMD EPYC 7000 Series Processor
m5a.8xlarge,June 2019,32,96,EPYC 7571,128,384,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"15,48","42,43","100,30","135,81","25,60","38,40","51,20","76,80","0,0","0,0","0,0","0,0","26,7","67,8","107,5","178,2","239,3",2.5 GHz AMD EPYC 7000 Series Processor
m5a.12xlarge,November 2018,48,96,EPYC 7571,192,384,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"23,23","63,65","150,45","203,71","38,40","57,60","76,80","115,20","0,0","0,0","0,0","0,0","40,0","101,6","161,3","267,3","358,9",2.5 GHz AMD EPYC 7000 Series Processor
m5a.16xlarge,June 2019,64,96,EPYC 7571,256,384,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"30,97","84,87","200,60","271,61","51,20","76,80","102,40","153,60","0,0","0,0","0,0","0,0","53,3","135,5","215,0","356,3","478,5",2.5 GHz AMD EPYC 7000 Series Processor
m5a.24xlarge,November 2018,96,96,EPYC 7571,384,384,EBS-Only,EBS,0,N/A,N/A,N/A,N/A,"46,45","127,30","300,91","407,42","76,80","115,20","153,60","230,40","0,0","0,0","0,0","0,0","80,0","203,3","322,5","534,5","717,8",2.5 GHz AMD EPYC 7000 Series Processor
m5ad.large,March 2019,2,96,EPYC 7571,8,384,1 x 75 NVMe SSD,SSD,4,N/A,N/A,N/A,N/A,"0,97","2,65","6,27","8,49","1,60","2,40","3,20","4,80","0,0","0,0","0,0","0,0","1,7","4,2","6,7","11,1","15,0",2.5 GHz AMD EPYC 7000 Series Processor
m5ad.xlarge,March 2019,4,96,EPYC 7571,16,384,1 x 150 NVMe SSD,SSD,4,N/A,N/A,N/A,N/A,"1,94","5,30","12,54","16,98","3,20","4,80","6,40","9,60","0,0","0,0","0,0","0,0","3,3","8,5","13,4","22,3","29,9",2.5 GHz AMD EPYC 7000 Series Processor
m5ad.2xlarge,March 2019,8,96,EPYC 7571,32,384,1 x 300 NVMe SSD,SSD,4,N/A,N/A,N/A,N/A,"3,87","10,61","25,08","33,95","6,40","9,60","12,80","19,20","0,0","0,0","0,0","0,0","6,7","16,9","26,9","44,5","59,8",2.5 GHz AMD EPYC 7000 Series Processor
m5ad.4xlarge,March 2019,16,96,EPYC 7571,64,384,2 x 300 NVMe SSD,SSD,4,N/A,N/A,N/A,N/A,"7,74","21,22","50,15","67,90","12,80","19,20","25,60","38,40","0,0","0,0","0,0","0,0","13,3","33,9","53,8","89,1","119,6",2.5 GHz AMD EPYC 7000 Series Processor
m5ad.8xlarge,March 2019,32,96,EPYC 7571,128,384,2 x 600 NVMe SSD,SSD,4,N/A,N/A,N/A,N/A,"15,48","42,43","100,30","135,81","25,60","38,40","51,20","76,80","0,0","0,0","0,0","0,0","26,7","67,8","107,5","178,2","239,3",2.5 GHz AMD EPYC 7000 Series Processor
m5ad.12xlarge,March 2019,48,96,EPYC 7571,192,384,2 x 900 NVMe SSD,SSD,4,N/A,N/A,N/A,N/A,"23,23","63,65","150,45","203,71","38,40","57,60","76,80","115,20","0,0","0,0","0,0","0,0","40,0","101,6","161,3","267,3","358,9",2.5 GHz AMD EPYC 7000 Series Processor
m5ad.16xlarge,March 2019,64,96,EPYC 7571,256,384,4 x 600 NVMe SSD,SSD,4,N/A,N/A,N/A,N/A,"30,97","84,87","200,60","271,61","51,20","76,80","102,40","153,60","0,0","0,0","0,0","0,0","53,3","135,5","215,0","356,3","478,5",2.5 GHz AMD EPYC 7000 Series Processor
m5ad.24xlarge,March 2019,96,96,EPYC 7571,384,384,4 x 900 NVMe SSD,SSD,4,N/A,N/A,N/A,N/A,"46,45","127,30","300,91","407,42","76,80","115,20","153,60","230,40","0,0","0,0","0,0","0,0","80,0","203,3","322,5","534,5","717,8",2.5 GHz AMD EPYC 7000 Series Processor
m5d.large,June 2018,2,96,Xeon Platinum 8175M,8,384,1 x 75 NVMe SSD,SSD,4,N/A,N/A,N/A,N/A,"1,21","3,05","7,16","9,96","1,20","1,92","4,96","8,00","0,0","0,0","0,0","0,0","2,0","4,4","7,0","14,1","20,0",Up to 3.1 GHz Intel Xeon Platinum 8175M
m5d.xlarge,June 2018,4,96,Xeon Platinum 8175M,16,384,1 x 150 NVMe SSD,SSD,4,N/A,N/A,N/A,N/A,"2,41","6,11","14,32","19,92","2,41","3,85","9,92","15,99","0,0","0,0","0,0","0,0","4,0","8,8","14,0","28,2","39,9",Up to 3.1 GHz Intel Xeon Platinum 8175M
m5d.2xlarge,June 2018,8,96,Xeon Platinum 8175M,32,384,1 x 300 NVMe SSD,SSD,4,N/A,N/A,N/A,N/A,"4,82","12,22","28,64","39,83","4,82","7,70","19,84","31,98","0,0","0,0","0,0","0,0","8,0","17,6","27,9","56,5","79,8",Up to 3.1 GHz Intel Xeon Platinum 8175M
m5d.4xlarge,June 2018,16,96,Xeon Platinum 8175M,64,384,2 x 300 NVMe SSD,SSD,4,N/A,N/A,N/A,N/A,"9,65","24,44","57,28","79,66","9,64","15,40","39,68","63,97","0,0","0,0","0,0","0,0","16,0","35,3","55,8","113,0","159,6",Up to 3.1 GHz Intel Xeon Platinum 8175M
m5d.8xlarge,June 2019,32,96,Xeon Platinum 8175M,128,384,2 x 600 NVMe SSD,SSD,4,N/A,N/A,N/A,N/A,"19,29","48,88","114,57","159,33","19,27","30,80","79,37","127,94","0,0","0,0","0,0","0,0","32,0","70,6","111,7","225,9","319,3",Up to 3.1 GHz Intel Xeon Platinum 8175M
m5d.12xlarge,June 2018,48,96,Xeon Platinum 8175M,192,384,2 x 900 NVMe SSD,SSD,4,N/A,N/A,N/A,N/A,"28,94","73,32","171,85","238,99","28,91","46,20","119,05","191,91","0,0","0,0","0,0","0,0","48,0","105,8","167,5","338,9","478,9",Up to 3.1 GHz Intel Xeon Platinum 8175M
